,CAS_Number,Chemical_Name,Species_Scientific_Name,Organism_Lifestage,Organism_Age_Mean,Organism_Age_Mean_Op,Exposure_Type,Media_Type,Test_Location,Number_of_Doses,Observed_Response_Mean,Observed_Response_Min,Observed_Response_Max,Observed_Response_Units,ld50_variance,ld50_se,ld50_se_+/-CI,ld50_sd,ld50_sd_+/-CI,Pval,DF,Chisq,HarzardRatio,notes_ld50,sample_size,paper code,notes,corresponding_author_email,Effect,Endpoint,Response_Site,aq_ter,,Title,Publication_Year,Observed_Duration_Days,Observed_Duration_Units_Days,Chemical_short,family,genus,Observed_Response_Units_std,Observed_Response_Mean_std,Observed_Response_Min_std,Observed_Response_Max_std
179,210880925,[C(E)]-N-[(2-Chloro-5-thiazolyl)methyl]-N'-methyl-N''-nitroguanidine,Apis mellifera ligustica,Not reported,NR,,Food,No substrate,Lab,8,2.82,1.25,5,AI ng/org,,,,,,,,,,"95% CI listed in figures of bar graphs, but cannot extract exact numbers; we estimated",160,23,SI not provided,daniela.laurino@unito.it,Mortality,LD50,Not reported,Terrestrial,,Toxicity of Neonicotinoid Insecticides on Different Honey Bee Genotypes,2013,2,Day(s),Clothianidin,Apidae,Apis,AI ng/org,2.82,NA,NA
186,210880925,[C(E)]-N-[(2-Chloro-5-thiazolyl)methyl]-N'-methyl-N''-nitroguanidine,Apis mellifera ligustica,Not reported,NR,,Food,No substrate,Lab,8,2.5,1.8,3.5,AI ng/org,,,,,,,,,,"95% CI listed in figures of bar graphs, but cannot extract exact numbers; we estimated",160,23,SI not provided,daniela.laurino@unito.it,Mortality,LD50,Not reported,Terrestrial,,Toxicity of Neonicotinoid Insecticides on Different Honey Bee Genotypes,2013,3,Day(s),Clothianidin,Apidae,Apis,AI ng/org,2.5,NA,NA
187,210880925,[C(E)]-N-[(2-Chloro-5-thiazolyl)methyl]-N'-methyl-N''-nitroguanidine,Apis mellifera ligustica,Not reported,NR,,Food,No substrate,Lab,8,2.61,1.8,3.6,AI ng/org,,,,,,,,,,"95% CI listed in figures of bar graphs, but cannot extract exact numbers; we estimated",160,23,SI not provided,daniela.laurino@unito.it,Mortality,LD50,Not reported,Terrestrial,,Toxicity of Neonicotinoid Insecticides on Different Honey Bee Genotypes,2013,2,Day(s),Clothianidin,Apidae,Apis,AI ng/org,2.61,NA,NA
188,210880925,[C(E)]-N-[(2-Chloro-5-thiazolyl)methyl]-N'-methyl-N''-nitroguanidine,Apis mellifera ligustica,Not reported,NR,,Food,No substrate,Lab,8,2.85,2.1,3.8,AI ng/org,,,,,,,,,,"95% CI listed in figures of bar graphs, but cannot extract exact numbers; we estimated",160,23,SI not provided,daniela.laurino@unito.it,Mortality,LD50,Not reported,Terrestrial,,Toxicity of Neonicotinoid Insecticides on Different Honey Bee Genotypes,2013,1,Day(s),Clothianidin,Apidae,Apis,AI ng/org,2.85,NA,NA
191,210880925,[C(E)]-N-[(2-Chloro-5-thiazolyl)methyl]-N'-methyl-N''-nitroguanidine,Apis mellifera ligustica,Not reported,NR,,Food,No substrate,Lab,8,1.24,0.2,5.4,AI ng/org,,,,,,,,,,"95% CI listed in figures of bar graphs, but cannot extract exact numbers; we estimated",160,23,SI not provided,daniela.laurino@unito.it,Mortality,LD50,Not reported,Terrestrial,,Toxicity of Neonicotinoid Insecticides on Different Honey Bee Genotypes,2013,1,Day(s),Clothianidin,Apidae,Apis,AI ng/org,1.24,NA,NA
192,210880925,[C(E)]-N-[(2-Chloro-5-thiazolyl)methyl]-N'-methyl-N''-nitroguanidine,Apis mellifera ligustica,Not reported,NR,,Food,No substrate,Lab,8,1.11,2,4.9,AI ng/org,,,,,,,,,,"95% CI listed in figures of bar graphs, but cannot extract exact numbers; we estimated",160,23,SI not provided,daniela.laurino@unito.it,Mortality,LD50,Not reported,Terrestrial,,Toxicity of Neonicotinoid Insecticides on Different Honey Bee Genotypes,2013,2,Day(s),Clothianidin,Apidae,Apis,AI ng/org,1.11,NA,NA
193,210880925,[C(E)]-N-[(2-Chloro-5-thiazolyl)methyl]-N'-methyl-N''-nitroguanidine,Apis mellifera ligustica,Not reported,NR,,Food,No substrate,Lab,8,1.25,0.3,3.5,AI ng/org,,,,,,,,,,"95% CI listed in figures of bar graphs, but cannot extract exact numbers; we estimated",160,23,SI not provided,daniela.laurino@unito.it,Mortality,LD50,Not reported,Terrestrial,,Toxicity of Neonicotinoid Insecticides on Different Honey Bee Genotypes,2013,3,Day(s),Clothianidin,Apidae,Apis,AI ng/org,1.25,NA,NA
45,138261413,(2E)-1-[(6-Chloro-3-pyridinyl)methyl]-N-nitro-2-imidazolidinimine,Apis mellifera ligustica,Adult,NR,,"Topical, general",No substrate,Lab,8,21.209,18.77,23.65,ng/org,,,,,,,,,,,720,24,SI listed but no original data,f.pennacchio@unina.it,Mortality,LD50,Not reported,Terrestrial,,Neonicotinoid Clothianidin Adversely Affects Insect Immunity and Promotes Replication of a Viral Pathogen in Honey Bees,2013,1,Day(s),Imidacloprid,Apidae,Apis,ng/org,21.209,18.77,23.65
177,210880925,[C(E)]-N-[(2-Chloro-5-thiazolyl)methyl]-N'-methyl-N''-nitroguanidine,Apis mellifera ligustica,Adult,NR,,"Topical, general",No substrate,Lab,6,21.418,19.3,23.45,ng/org,,,,,,,,,,,540,24,SI listed but no original data,f.pennacchio@unina.it,Mortality,LD50,Not reported,Terrestrial,,Neonicotinoid Clothianidin Adversely Affects Insect Immunity and Promotes Replication of a Viral Pathogen in Honey Bees,2013,1,Day(s),Clothianidin,Apidae,Apis,ng/org,21.418,19.3,23.45
60,138261413,(2E)-1-[(6-Chloro-3-pyridinyl)methyl]-N-nitro-2-imidazolidinimine,Bombus terrestris,Not reported,NR,,Food,No substrate,Lab,NR,0.04,NA,NA,ug/org,,,,,,,,,8870,NR,5,25,SI not provided,augusto.patetta@unito.it,Mortality,LD50,Not reported,Terrestrial,,Laboratory Assessment of Pesticide Toxicity to Bumblebees,2003,1,Day(s),Imidacloprid,Apidae,Bombus,ng/org,40,NA,NA
63,138261413,(2E)-1-[(6-Chloro-3-pyridinyl)methyl]-N-nitro-2-imidazolidinimine,Bombus terrestris,Not reported,NR,,Food,No substrate,Lab,NR,0.02,NA,NA,ug/org,,,,,,,,,8870,NR,5,25,SI not provided,augusto.patetta@unito.it,Mortality,LD50,Not reported,Terrestrial,,Laboratory Assessment of Pesticide Toxicity to Bumblebees,2003,3,Day(s),Imidacloprid,Apidae,Bombus,ng/org,20,NA,NA
64,138261413,(2E)-1-[(6-Chloro-3-pyridinyl)methyl]-N-nitro-2-imidazolidinimine,Bombus terrestris,Not reported,NR,,Dropwise,No substrate,Lab,NR,0.02,NA,NA,ug/org,,,,,,,,,6769,NR,5,25,SI not provided,augusto.patetta@unito.it,Mortality,LD50,Not reported,Terrestrial,,Laboratory Assessment of Pesticide Toxicity to Bumblebees,2003,3,Day(s),Imidacloprid,Apidae,Bombus,ng/org,20,NA,NA
61,138261413,(2E)-1-[(6-Chloro-3-pyridinyl)methyl]-N-nitro-2-imidazolidinimine,Bombus terrestris,Adult,NR,,"Diet, unspecified",No substrate,Lab,6,0.038,0.012,0.075,AI ug/org,,1.5,0.44,,,,,,,slope+/-SE,180,26,SI listed but no original data,c.bass@exeter.ac.uk,Mortality,LD50,Not reported,Terrestrial,,Unravelling the Molecular Determinants of Bee Sensitivity to Neonicotinoid Insecticides,2018,2,Day(s),Imidacloprid,Apidae,Bombus,AI ng/org,38,12,75
62,138261413,(2E)-1-[(6-Chloro-3-pyridinyl)methyl]-N-nitro-2-imidazolidinimine,Bombus terrestris,Adult,NR,,"Topical, general",No substrate,Lab,6,0.38,0.12,1.45,AI ug/org,,0.6,0.11,,,,,,,slope+/-SE,180,26,SI listed but no original data,c.bass@exeter.ac.uk,Mortality,LD50,Not reported,Terrestrial,,Unravelling the Molecular Determinants of Bee Sensitivity to Neonicotinoid Insecticides,2018,2,Day(s),Imidacloprid,Apidae,Bombus,AI ng/org,380,120,1450
67,138261413,(2E)-1-[(6-Chloro-3-pyridinyl)methyl]-N-nitro-2-imidazolidinimine,Melipona quadrifasciata,Adult,NR,,Food,No substrate,Lab,7,23.54,NA,NA,AI ng/org,,2.56,0.28,,,,,,,slope+/-SE,210,27,SI not provided,guedes@ufv.br,Mortality,LD50,Not reported,Terrestrial,,Spinosad in the Native Stingless Bee Melipona quadrifasciata: Regrettable Non-Target Toxicity of a Bioinsecticide,2015,1,Day(s),Imidacloprid,Apidae,Melipona,AI ng/org,23.54,NA,NA
68,138261413,(2E)-1-[(6-Chloro-3-pyridinyl)methyl]-N-nitro-2-imidazolidinimine,Melipona scutellaris,Adult,NR,,Dermal,No substrate,Lab,7,1.29,0.813,1.903,AI ng/org,,,,,,,,,,,210,28,SI not provided,costa.l.mariano@gmail.com,Mortality,LD50,Not reported,Terrestrial,,"Determination of Acute Lethal Doses (LD50 and LC50) of Imidacloprid for the Native Bee Melipona scutellaris Latreille, 1811 (Hymenoptera: Apidae)",2015,2,Day(s),Imidacloprid,Apidae,Melipona,AI ng/org,1.29,0.813,1.903
69,138261413,(2E)-1-[(6-Chloro-3-pyridinyl)methyl]-N-nitro-2-imidazolidinimine,Melipona scutellaris,Adult,NR,,Dermal,No substrate,Lab,7,2.41,1.63,3.27,AI ng/org,,,,,,,,,,,210,28,SI not provided,costa.l.mariano@gmail.com,Mortality,LD50,Not reported,Terrestrial,,"Determination of Acute Lethal Doses (LD50 and LC50) of Imidacloprid for the Native Bee Melipona scutellaris Latreille, 1811 (Hymenoptera: Apidae)",2015,1,Day(s),Imidacloprid,Apidae,Melipona,AI ng/org,2.41,1.63,3.27
70,138261413,(2E)-1-[(6-Chloro-3-pyridinyl)methyl]-N-nitro-2-imidazolidinimine,Nannotrigona perilampoides,Not reported,NR,,"Topical, general",No substrate,Lab,5,0.0011,8.00E-04,0.0015,ug/org,,,,,,,,,,,100,29,SI not provided,qeuan@uady.mx,Mortality,LD50,Not reported,Terrestrial,,Comparative Toxicity of Pesticides to Stingless Bees (Hymenoptera: Apidae: Meliponini),2009,1,Day(s),Imidacloprid,Apidae,Nannotrigona,ng/org,1.1,0.8,1.5
143,153719234,"3-[(2-Chloro-5-thiazolyl)methyl]tetrahydro-5-methyl-N-nitro-4H-1,3,5-oxadiazin-4-imine",Nannotrigona perilampoides,Not reported,NR,,"Topical, general",No substrate,Lab,5,0.004,0.003,0.006,ug/org,,,,,,,,,,,100,29,SI not provided,qeuan@uady.mx,Mortality,LD50,Not reported,Terrestrial,,Comparative Toxicity of Pesticides to Stingless Bees (Hymenoptera: Apidae: Meliponini),2009,1,Day(s),Thiamethoxam,Apidae,Nannotrigona,ng/org,4,3,6
73,138261413,(2E)-1-[(6-Chloro-3-pyridinyl)methyl]-N-nitro-2-imidazolidinimine,Scaptotrigona postica,Not reported,NR,,Dermal,No substrate,Lab,8,25.2,20.13,30.28,AI ng/org,,,,,,,,,,,480,30,SI not provided,hellenmsoares@gmail.com,Mortality,LD50,Not reported,Terrestrial,,"Toxicity of Imidacloprid to the Stingless Bee Scaptotrigona Postica latreille, 1807 (Hymenoptera: Apidae)",2015,1,Day(s),Imidacloprid,Apidae,Scaptotrigona,AI ng/org,25.2,20.13,30.28
74,138261413,(2E)-1-[(6-Chloro-3-pyridinyl)methyl]-N-nitro-2-imidazolidinimine,Scaptotrigona postica,Not reported,NR,,Dermal,No substrate,Lab,8,24.5,13.71,35.22,AI ng/org,,,,,,,,,,,480,30,SI not provided,hellenmsoares@gmail.com,Mortality,LD50,Not reported,Terrestrial,,"Toxicity of Imidacloprid to the Stingless Bee Scaptotrigona Postica latreille, 1807 (Hymenoptera: Apidae)",2015,2,Day(s),Imidacloprid,Apidae,Scaptotrigona,AI ng/org,24.5,13.71,35.22
80,153719234,"3-[(2-Chloro-5-thiazolyl)methyl]tetrahydro-5-methyl-N-nitro-4H-1,3,5-oxadiazin-4-imine",Apis mellifera,Adult,NR,,Food,No substrate,Lab,9,2.66,1.32,4.32,AI ng/org,,,,,,,,,,,320,31,SI not provided,riazshah@squ.edu.om,Mortality,LD50,Not reported,Terrestrial,,"Comparative Toxicity of Two Neonicotinoids and a Pyrethroid to Forager Honeybees (Apis mellifera L, 1758) (Hymenoptera: Apidae) by Different Exposure Methods",2020,2,Day(s),Thiamethoxam,Apidae,Apis,AI ng/org,2.66,1.32,4.32
81,153719234,"3-[(2-Chloro-5-thiazolyl)methyl]tetrahydro-5-methyl-N-nitro-4H-1,3,5-oxadiazin-4-imine",Apis mellifera,Adult,NR,,"Spray, unspecified",No substrate,Lab,9,6.68,3.19,13,AI ng/org,,,,,,,,,,,320,31,SI not provided,riazshah@squ.edu.om,Mortality,LD50,Not reported,Terrestrial,,"Comparative Toxicity of Two Neonicotinoids and a Pyrethroid to Forager Honeybees (Apis mellifera L, 1758) (Hymenoptera: Apidae) by Different Exposure Methods",2020,2,Day(s),Thiamethoxam,Apidae,Apis,AI ng/org,6.68,3.19,13
82,153719234,"3-[(2-Chloro-5-thiazolyl)methyl]tetrahydro-5-methyl-N-nitro-4H-1,3,5-oxadiazin-4-imine",Apis mellifera,Adult,NR,,Dermal,No substrate,Lab,9,23.4,12.1,34.5,AI ng/org,,,,,,,,,,,320,31,SI not provided,riazshah@squ.edu.om,Mortality,LD50,Not reported,Terrestrial,,"Comparative Toxicity of Two Neonicotinoids and a Pyrethroid to Forager Honeybees (Apis mellifera L, 1758) (Hymenoptera: Apidae) by Different Exposure Methods",2020,2,Day(s),Thiamethoxam,Apidae,Apis,AI ng/org,23.4,12.1,34.5
86,153719234,"3-[(2-Chloro-5-thiazolyl)methyl]tetrahydro-5-methyl-N-nitro-4H-1,3,5-oxadiazin-4-imine",Apis mellifera,Not reported,NR,,"Topical, general",No substrate,Lab,NR,51.16,47.07,56.28,ng/org,,,,,,,,,,95% CI listed here as 47.07-56.28; not sure why the ECOTOX database has the observed min and max as NA,30,32,SI not provided,alexandra.badiou@avignon.inra.fr,Mortality,LD50,Not reported,Terrestrial,,Development of Biomarkers of Exposure to Xenobiotics in the Honey Bee Apis mellifera: Application to the Systemic Insecticide Thiamethoxam,2012,2,Day(s),Thiamethoxam,Apidae,Apis,ng/org,51.16,NA,NA
95,153719234,"3-[(2-Chloro-5-thiazolyl)methyl]tetrahydro-5-methyl-N-nitro-4H-1,3,5-oxadiazin-4-imine",Apis mellifera,Adult,NR,,Food,No substrate,Lab,7,1.83,1.19,2.476,AI ng/org,,1.83,0.23,,,,,,,NR,360,33,SI not provided,wahloucif@yahoo.fr,Mortality,LD50,Not reported,Terrestrial,,Effects of Thiamethoxam and Spinosad on the Survival and Hypopharyngeal Glands of the African Honey Bee (Apis mellifera Intermissa),2020,1,Day(s),Thiamethoxam,Apidae,Apis,AI ng/org,2.48,NA,NA
96,153719234,"3-[(2-Chloro-5-thiazolyl)methyl]tetrahydro-5-methyl-N-nitro-4H-1,3,5-oxadiazin-4-imine",Apis mellifera,Not reported,NR,,Food,No substrate,Lab,11,4.679,3.862,5.552,AI ng/org,,,,,,,,,,,330,34,SI not provided,daniela.laurino@unito.it,Mortality,LD50,Not reported,Terrestrial,,Toxicity of Neonicotinoid Insecticides to Honey Bees: Laboratory Tests,2011,1,Day(s),Thiamethoxam,Apidae,Apis,AI ng/org,4.679,3.862,5.552
97,153719234,"3-[(2-Chloro-5-thiazolyl)methyl]tetrahydro-5-methyl-N-nitro-4H-1,3,5-oxadiazin-4-imine",Apis mellifera,Not reported,NR,,Food,No substrate,Lab,11,4.316,3.517,5.154,AI ng/org,,,,,,,,,,,330,34,SI not provided,daniela.laurino@unito.it,Mortality,LD50,Not reported,Terrestrial,,Toxicity of Neonicotinoid Insecticides to Honey Bees: Laboratory Tests,2011,3,Day(s),Thiamethoxam,Apidae,Apis,AI ng/org,4.316,3.517,5.154
98,153719234,"3-[(2-Chloro-5-thiazolyl)methyl]tetrahydro-5-methyl-N-nitro-4H-1,3,5-oxadiazin-4-imine",Apis mellifera,Not reported,NR,,Food,No substrate,Lab,11,4.411,3.612,5.252,AI ng/org,,,,,,,,,,,330,34,SI not provided,daniela.laurino@unito.it,Mortality,LD50,Not reported,Terrestrial,,Toxicity of Neonicotinoid Insecticides to Honey Bees: Laboratory Tests,2011,2,Day(s),Thiamethoxam,Apidae,Apis,AI ng/org,4.411,3.612,5.252
105,153719234,"3-[(2-Chloro-5-thiazolyl)methyl]tetrahydro-5-methyl-N-nitro-4H-1,3,5-oxadiazin-4-imine",Apis mellifera iberiensis,Multiple,NR,,"Environmental, unspecified",No substrate,Field natural,2,0.005,NA,NA,AI ug/org,,,,,,,,,,NR,200,35,SI provided,hernando.dolores@inia.es,Mortality,LD50,Not reported,Terrestrial,,Viability of Honeybee Colonies Exposed to Sunflowers Grown from Seeds Treated with the Neonicotinoids Thiamethoxam and Clothianidin,2018,21,Day(s),Thiamethoxam,Apidae,Apis,AI ng/org,5,NA,NA
169,210880925,[C(E)]-N-[(2-Chloro-5-thiazolyl)methyl]-N'-methyl-N''-nitroguanidine,Apis mellifera iberiensis,Multiple,NR,,"Environmental, unspecified",No substrate,Field natural,2,0.0037,NA,NA,AI ug/org,,,,,,,,,,NR,200,35,SI provided,hernando.dolores@inia.es,Mortality,LD50,Not reported,Terrestrial,,Viability of Honeybee Colonies Exposed to Sunflowers Grown from Seeds Treated with the Neonicotinoids Thiamethoxam and Clothianidin,2018,21,Day(s),Clothianidin,Apidae,Apis,AI ng/org,3.7,NA,NA
106,153719234,"3-[(2-Chloro-5-thiazolyl)methyl]tetrahydro-5-methyl-N-nitro-4H-1,3,5-oxadiazin-4-imine",Apis mellifera ligustica,Larva,1,,Food,No substrate,Lab,8,118,37,209,ng/org,,,,,,,,,,,24,36,SI not provided,daniela.laurino@unito.it,Mortality,LD50,Not reported,Terrestrial,,Toxicity of Thiametoxam on In Vitro Reared Honey Bee Brood,2017,19,Day(s),Thiamethoxam,Apidae,Apis,ng/org,118,37,209
107,153719234,"3-[(2-Chloro-5-thiazolyl)methyl]tetrahydro-5-methyl-N-nitro-4H-1,3,5-oxadiazin-4-imine",Apis mellifera ligustica,Larva,1,,Food,No substrate,Lab,8,229,50,489,ng/org,,,,,,,,,,,24,36,SI not provided,daniela.laurino@unito.it,Mortality,LD50,Not reported,Terrestrial,,Toxicity of Thiametoxam on In Vitro Reared Honey Bee Brood,2017,14,Day(s),Thiamethoxam,Apidae,Apis,ng/org,229,50,489
111,153719234,"3-[(2-Chloro-5-thiazolyl)methyl]tetrahydro-5-methyl-N-nitro-4H-1,3,5-oxadiazin-4-imine",Apis mellifera ligustica,Post-emergence,4,,Food,No substrate,Lab,6,9.02,5.87,13.04,ng/org,,,,,,,,,,,180,37,SI not provided,yulinsheng@ahau.edu.cn,Mortality,LD50,Not reported,Terrestrial,,Synergistic Toxicity and Physiological Impact of Thiamethoxam Alone or in Binary Mixtures with Three Commonly Used Insecticides on Honeybee,2020,2.1667,Day(s),Thiamethoxam,Apidae,Apis,ng/org,9.02,5.87,13.04
136,153719234,"3-[(2-Chloro-5-thiazolyl)methyl]tetrahydro-5-methyl-N-nitro-4H-1,3,5-oxadiazin-4-imine",Bombus impatiens,Not reported,NR,,Food,No substrate,Lab,6,0.0015,0.0011,0.0018,AI ug/org,,,,,,,,,,,240,38,SI provided,nraine@uoguelph.ca,Mortality,LD50,Not reported,Terrestrial,,Acute Oral Toxicity and Risks of Four Classes of Systemic Insecticide to the Common Eastern Bumblebee (Bombus impatiens),2022,2.0138,Day(s),Thiamethoxam,Apidae,Bombus,AI ng/org,1.5,1.1,1.8
144,153719234,"3-[(2-Chloro-5-thiazolyl)methyl]tetrahydro-5-methyl-N-nitro-4H-1,3,5-oxadiazin-4-imine",Scaptotrigona xanthotricha,Not reported,NR,,Food,No substrate,Lab,8,0.37,0.148,0.921,AI ng/org,,,,,,,,,,,180,39,SI not provided,quirogaedaniel@hotmail.com,Mortality,LD50,Not reported,Terrestrial,,Toxicity Evaluation of Two Insecticides on Tetragonisca angustula and Scaptotrigona xanthotricha (Hymenoptera: Apidae),2017,2,Day(s),Thiamethoxam,Apidae,Scaptotrigona,AI ng/org,0.37,0.148,0.921
145,153719234,"3-[(2-Chloro-5-thiazolyl)methyl]tetrahydro-5-methyl-N-nitro-4H-1,3,5-oxadiazin-4-imine",Scaptotrigona xanthotricha,Not reported,NR,,Dermal,No substrate,Lab,6,27.78,9.54,80.88,AI ng/org,,,,,,,,,,,180,39,SI not provided,quirogaedaniel@hotmail.com,Mortality,LD50,Not reported,Terrestrial,,Toxicity Evaluation of Two Insecticides on Tetragonisca angustula and Scaptotrigona xanthotricha (Hymenoptera: Apidae),2017,2,Day(s),Thiamethoxam,Apidae,Scaptotrigona,AI ng/org,27.78,9.54,80.88
146,153719234,"3-[(2-Chloro-5-thiazolyl)methyl]tetrahydro-5-methyl-N-nitro-4H-1,3,5-oxadiazin-4-imine",Tetragonisca angustula,Not reported,NR,,Dermal,No substrate,Lab,9,1.86,1.79,2.51,AI ng/org,,,,,,,,,,,180,39,SI not provided,quirogaedaniel@hotmail.com,Mortality,LD50,Not reported,Terrestrial,,Toxicity Evaluation of Two Insecticides on Tetragonisca angustula and Scaptotrigona xanthotricha (Hymenoptera: Apidae),2017,2,Day(s),Thiamethoxam,Apidae,Tetragonisca,AI ng/org,1.86,1.79,2.51
147,153719234,"3-[(2-Chloro-5-thiazolyl)methyl]tetrahydro-5-methyl-N-nitro-4H-1,3,5-oxadiazin-4-imine",Tetragonisca angustula,Not reported,NR,,Food,No substrate,Lab,6,5.331,1.41,20.16,AI ng/org,,,,,,,,,,,180,39,SI not provided,quirogaedaniel@hotmail.com,Mortality,LD50,Not reported,Terrestrial,,Toxicity Evaluation of Two Insecticides on Tetragonisca angustula and Scaptotrigona xanthotricha (Hymenoptera: Apidae),2017,2,Day(s),Thiamethoxam,Apidae,Tetragonisca,AI ng/org,5.331,1.41,20.16
151,210880925,[C(E)]-N-[(2-Chloro-5-thiazolyl)methyl]-N'-methyl-N''-nitroguanidine,Apis mellifera,Adult,NR,,Food,No substrate,Lab,8,2.21E-05,1.25E-05,3.18E-05,mg/org,,,,,,,,,,,320,40,SI listed but no original data,hhesketh@ceh.ac.uk,Mortality,LD50,Not reported,Terrestrial,,Extending Standard Testing Period in Honeybees to Predict Lifespan Impacts of Pesticides and Heavy Metals Using Dynamic Energy Budget Modelling,2016,2,Day(s),Clothianidin,Apidae,Apis,ng/org,22.12,12.46,31.78
152,210880925,[C(E)]-N-[(2-Chloro-5-thiazolyl)methyl]-N'-methyl-N''-nitroguanidine,Apis mellifera,Adult,NR,,Food,No substrate,Lab,8,2.21E-05,1.65E-05,2.80E-05,mg/org,,,,,,,,,,,320,40,SI listed but no original data,hhesketh@ceh.ac.uk,Mortality,LD50,Not reported,Terrestrial,,Extending Standard Testing Period in Honeybees to Predict Lifespan Impacts of Pesticides and Heavy Metals Using Dynamic Energy Budget Modelling,2016,4,Day(s),Clothianidin,Apidae,Apis,ng/org,22.12,16.52,28
168,210880925,[C(E)]-N-[(2-Chloro-5-thiazolyl)methyl]-N'-methyl-N''-nitroguanidine,Apis mellifera,Adult,NR,,Food,No substrate,Lab,8,1.96E-05,1.26E-05,2.66E-05,mg/org,,,,,,,,,,,320,40,SI listed but no original data,hhesketh@ceh.ac.uk,Mortality,LD50,Not reported,Terrestrial,,Extending Standard Testing Period in Honeybees to Predict Lifespan Impacts of Pesticides and Heavy Metals Using Dynamic Energy Budget Modelling,2016,10,Day(s),Clothianidin,Apidae,Apis,ng/org,19.6,12.6,26.6
189,210880925,[C(E)]-N-[(2-Chloro-5-thiazolyl)methyl]-N'-methyl-N''-nitroguanidine,Apis mellifera ligustica,Not reported,NR,,Food,No substrate,Lab,8,1.68,1.28,2.04,AI ng/org,,,,,,,,,,,240,41,SI listed but no original data,fabio.sgolastra2@unibo.it,Mortality,LD50,Not reported,Terrestrial,,Synergistic Mortality Between a Neonicotinoid Insecticide and an Ergosterol-Biosynthesis-Inhibiting Fungicide in Three Bee Species,2017,1,Day(s),Clothianidin,Apidae,Apis,AI ng/org,1.68,1.28,2.04
190,210880925,[C(E)]-N-[(2-Chloro-5-thiazolyl)methyl]-N'-methyl-N''-nitroguanidine,Apis mellifera ligustica,Not reported,NR,,Food,No substrate,Lab,8,1.9,1.02,2.37,AI ng/org,,,,,,,,,,,240,41,SI listed but no original data,fabio.sgolastra2@unibo.it,Mortality,LD50,Not reported,Terrestrial,,Synergistic Mortality Between a Neonicotinoid Insecticide and an Ergosterol-Biosynthesis-Inhibiting Fungicide in Three Bee Species,2017,2,Day(s),Clothianidin,Apidae,Apis,AI ng/org,1.9,1.02,2.37
199,210880925,[C(E)]-N-[(2-Chloro-5-thiazolyl)methyl]-N'-methyl-N''-nitroguanidine,Bombus terrestris,Adult,NR,,Food,No substrate,Lab,8,3.12,2.32,3.96,AI ng/org,,,,,,,,,,,240,41,SI listed but no original data,fabio.sgolastra2@unibo.it,Mortality,LD50,Not reported,Terrestrial,,Synergistic Mortality Between a Neonicotinoid Insecticide and an Ergosterol-Biosynthesis-Inhibiting Fungicide in Three Bee Species,2017,1,Day(s),Clothianidin,Apidae,Bombus,AI ng/org,3.12,2.32,3.96
200,210880925,[C(E)]-N-[(2-Chloro-5-thiazolyl)methyl]-N'-methyl-N''-nitroguanidine,Bombus terrestris,Adult,NR,,Food,No substrate,Lab,8,3.12,2.32,3.96,AI ng/org,,,,,,,,,,,240,41,SI listed but no original data,fabio.sgolastra2@unibo.it,Mortality,LD50,Not reported,Terrestrial,,Synergistic Mortality Between a Neonicotinoid Insecticide and an Ergosterol-Biosynthesis-Inhibiting Fungicide in Three Bee Species,2017,3,Day(s),Clothianidin,Apidae,Bombus,AI ng/org,3.12,2.32,3.96
201,210880925,[C(E)]-N-[(2-Chloro-5-thiazolyl)methyl]-N'-methyl-N''-nitroguanidine,Bombus terrestris,Adult,NR,,Food,No substrate,Lab,8,3.12,2.32,3.96,AI ng/org,,,,,,,,,,,240,41,SI listed but no original data,fabio.sgolastra2@unibo.it,Mortality,LD50,Not reported,Terrestrial,,Synergistic Mortality Between a Neonicotinoid Insecticide and an Ergosterol-Biosynthesis-Inhibiting Fungicide in Three Bee Species,2017,2,Day(s),Clothianidin,Apidae,Bombus,AI ng/org,3.12,2.32,3.96
202,210880925,[C(E)]-N-[(2-Chloro-5-thiazolyl)methyl]-N'-methyl-N''-nitroguanidine,Bombus terrestris,Adult,NR,,Food,No substrate,Lab,8,3.12,2.32,3.96,AI ng/org,,,,,,,,,,,240,41,SI listed but no original data,fabio.sgolastra2@unibo.it,Mortality,LD50,Not reported,Terrestrial,,Synergistic Mortality Between a Neonicotinoid Insecticide and an Ergosterol-Biosynthesis-Inhibiting Fungicide in Three Bee Species,2017,4,Day(s),Clothianidin,Apidae,Bombus,AI ng/org,3.12,2.32,3.96
206,210880925,[C(E)]-N-[(2-Chloro-5-thiazolyl)methyl]-N'-methyl-N''-nitroguanidine,Osmia rufa,Not reported,NR,,Food,Not reported,Lab,7,1.17,0.93,1.45,AI ng/org,,,,,,,,,,,240,41,SI listed but no original data,fabio.sgolastra2@unibo.it,Mortality,LD50,Not reported,Terrestrial,,Synergistic Mortality Between a Neonicotinoid Insecticide and an Ergosterol-Biosynthesis-Inhibiting Fungicide in Three Bee Species,2017,3,Day(s),Clothianidin,Megachilidae,Osmia,AI ng/org,1.17,0.93,1.45
